연번,행정동,설치장소,관리부서,전화번호,위도,경도
16,팔용동,경상남도 창원시 의창구 팔용로416번길11,경상남도 창원시 의창구청 환경과,055-212-4521,35.2531779,128.6132954
17,봉곡동,경상남도 창원시 의창구 봉곡로77-9번길,경상남도 창원시 의창구청 환경과,055-212-4521,35.249681,128.6679207
18,봉림동,경상남도 창원시 의창구 소봉로 8,경상남도 창원시 의창구청 환경과,055-212-4521,35.2507302,128.6717673
19,팔용동,경상남도 창원시 의창구 팔용로439번길17,경상남도 창원시 의창구청 환경과,055-212-4521,35.2567271,128.6113412
20,팔용동,경상남도 창원시 의창구 팔용로451번길8,경상남도 창원시 의창구청 환경과,055-212-4521,35.2574381,128.6131896
21,팔용동,경상남도 창원시 의창구 팔용로451번길14,경상남도 창원시 의창구청 환경과,055-212-4521,35.257638,128.6126231
22,사림동,경상남도 창원시 의창구 퇴촌로3번길8,경상남도 창원시 의창구청 환경과,055-212-4521,35.2429027,128.6862551
23,팔용동,경상남도 창원시 의창구 팔용로 451번길 1,경상남도 창원시 의창구청 환경과,055-212-4521,35.2568004,128.6135862
24,팔용동,경상남도 창원시 의창구 팔용로455번길27,경상남도 창원시 의창구청 환경과,055-212-4521,35.2582591,128.6118128
25,팔용동,경상남도 창원시 의창구 팔용로 443번길20,경상남도 창원시 의창구청 환경과,055-212-4521,35.2571314,128.61193
26,봉림동,경상남도 창원시 의창구 소봉로 11,경상남도 창원시 의창구청 환경과,055-212-4521,35.2510898,128.6707804
27,봉곡동,경상남도 창원시 의창구 지귀로 24번길 41,경상남도 창원시 의창구청 환경과,055-212-4521,35.2433546,128.6537357
28,봉곡동,경상남도 창원시 의창구 지귀로 120번길 30,경상남도 창원시 의창구청 환경과,055-212-4521,35.2449544,128.655027
29,봉곡동,경상남도 창원시 의창구 지귀로120번길30-8,경상남도 창원시 의창구청 환경과,055-212-4521,35.2452142,128.6549506
30,봉곡동,경상남도 창원시 의창구 지귀로120번길37,경상남도 창원시 의창구청 환경과,055-212-4521,35.2444741,128.6543865
31,봉곡동,경상남도 창원시 의창구 창이대로187번길8,경상남도 창원시 의창구청 환경과,055-212-4521,35.2454653,128.6578322
32,봉곡동,경상남도 창원시 의창구 지귀로32번길31 ,경상남도 창원시 의창구청 환경과,055-212-4521,35.2442805,128.6538465
33,팔용동,경상남도 창원시 의창구 팔용로 412번길 10,경상남도 창원시 의창구청 환경과,055-212-4521,35.2527685,128.6127167
34,봉곡동,경상남도 창원시 의창구 지귀로128번길17,경상남도 창원시 의창구청 환경과,055-212-4521,35.2443141,128.6565915
35,봉곡동,경상남도 창원시 의창구 지귀로73번길15-1,경상남도 창원시 의창구청 환경과,055-212-4521,35.2485583,128.6545649
36,봉곡동,경상남도 창원시 의창구 봉곡로97번길42-1,경상남도 창원시 의창구청 환경과,055-212-4521,35.248629,128.6744733
37,봉곡동,경상남도 창원시 의창구 지귀로93번길1,경상남도 창원시 의창구청 환경과,055-212-4521,35.2476107,128.6560763
38,사림동,경상남도 창원시 의창구 용지로293번길20,경상남도 창원시 의창구청 환경과,055-212-4521,35.240305,128.6884042
39,사림동,경상남도 창원시 의창구 사림로16번길49-7,경상남도 창원시 의창구청 환경과,055-212-4521,35.2448027,128.6802985
40,봉림동,경상남도 창원시 의창구 소봉로20번길22,경상남도 창원시 의창구청 환경과,055-212-4521,35.2515872,128.6716572
41,봉림동,경상남도 창원시 의창구 소봉로7번길9-4,경상남도 창원시 의창구청 환경과,055-212-4521,35.2507681,128.6702181
42,봉림동,경상남도 창원시 의창구 소봉로7번길35,경상남도 창원시 의창구청 환경과,055-212-4521,35.2503534,128.6701611
43,봉림동,경상남도 창원시 의창구 소봉로7번길9-2,경상남도 창원시 의창구청 환경과,055-212-4521,35.2509082,128.6702306
44,봉림동,경상남도 창원시 의창구 소봉로7번길13-3,경상남도 창원시 의창구청 환경과,055-212-4521,35.2507786,128.6700329
45,봉림동,경상남도 창원시 의창구 소봉로7번길29,경상남도 창원시 의창구청 환경과,055-212-4521,35.2504099,128.6695343
46,사림동,경상남도 창원시 의창구 사림로111번길 10-24,경상남도 창원시 의창구청 환경과,055-212-4521,35.2445867,128.6855987
47,사림동,경상남도 창원시 의창구 사림로57번길10-1,경상남도 창원시 의창구청 환경과,055-212-4521,35.2476287,128.6795085
48,사림동,경상남도 창원시 의창구 사림로57번길22-16,경상남도 창원시 의창구청 환경과,055-212-4521,35.2481311,128.6807941
49,사림동,경상남도 창원시 의창구 사림로57번길22-23,경상남도 창원시 의창구청 환경과,055-212-4521,35.2482034,128.6812674
50,팔용동,경상남도 창원시 의창구 팔용로 447번길 24,경상남도 창원시 의창구청 환경과,055-212-4521,35.2578554,128.6114573
51,팔용동,경상남도 창원시 의창구 사화로 9번길 31,경상남도 창원시 의창구청 환경과,055-212-4521,35.2596613,128.6108746
52,봉곡동,경상남도 창원시 의창구 봉곡로93번길36-1,경상남도 창원시 의창구청 환경과,055-212-4521,35.2490522,128.6737504
53,사림동,경상남도 창원시 의창구 사림로45번길52,경상남도 창원시 의창구청 환경과,055-212-4521,35.2493393,128.6809101
54,사림동,경상남도 창원시 의창구 창이대로417번길 3-2,경상남도 창원시 의창구청 환경과,055-212-4521,35.2421931,128.6826662
55,팔용동,경상남도 창원시 의창구 반계로68번길15,경상남도 창원시 의창구청 환경과,055-212-4521,35.2508473,128.6159449
56,사림동,경상남도 창원시 의창구 사림로45번길56-1,경상남도 창원시 의창구청 환경과,055-212-4521,35.2490549,128.6816033
57,사림동,경상남도 창원시 의창구 용지로293번길 29,경상남도 창원시 의창구청 환경과,055-212-4521,35.2407046,128.6873711
58,봉곡동,경상남도 창원시 의창구 지귀로 73번길 8-27,경상남도 창원시 의창구청 환경과,055-212-4521,35.2480055,128.6560129
59,봉곡동,경상남도 창원시 의창구 봉곡로 97번길 53,경상남도 창원시 의창구청 환경과,055-212-4521,35.2489676,128.6757846
60,사림동,경상남도 창원시 의창구 사림로109번길7,경상남도 창원시 의창구청 환경과,055-212-4521,35.2453943,128.6842482
61,사림동,경상남도 창원시 의창구 사림로111번길2,경상남도 창원시 의창구청 환경과,055-212-4521,35.2448627,128.6843966
62,사림동,경상남도 창원시 의창구 창이대로417번길3-2,경상남도 창원시 의창구청 환경과,055-212-4521,35.2421931,128.6826662
63,사림동,경상남도 창원시 의창구 사림로137번길12,경상남도 창원시 의창구청 환경과,055-212-4521,35.2430264,128.686863
64,봉림동,경상남도 창원시 의창구 소봉로 72,경상남도 창원시 의창구청 환경과,055-212-4521,35.2554555,128.6692001
65,팔용동,경상남도 창원시 의창구 의창대로 180번길 11,경상남도 창원시 의창구청 환경과,055-212-4521,35.2605125,128.6172084
66,사림동,경상남도 창원시 의창구 사림로158번길25,경상남도 창원시 의창구청 환경과,055-212-4521,35.2428801,128.6828208
67,사림동,경상남도 창원시 의창구 사림로16번길38,경상남도 창원시 의창구청 환경과,055-212-4521,35.2447097,128.6788877
68,사림동,경상남도 창원시 의창구 사림로16번길41,경상남도 창원시 의창구청 환경과,055-212-4521,35.244738,128.6795739
69,사림동,경상남도 창원시 의창구 사림로109번길25,경상남도 창원시 의창구청 환경과,055-212-4521,35.2466449,128.6853924
70,봉곡동,경상남도 창원시 의창구 봉곡로99번길36 맞은편,경상남도 창원시 의창구청 환경과,055-212-4521,35.2482307,128.6744542
71,봉곡동,경상남도 창원시 의창구 사림로 29번길 20-1,경상남도 창원시 의창구청 환경과,055-212-4521,35.248091,128.6741519
72,봉곡동,경상남도 창원시 의창구 사림로29번길 21-6,경상남도 창원시 의창구청 환경과,055-212-4521,35.2477591,128.6737895
73,팔용동,경상남도 창원시 의창구 팔용동196번지,경상남도 창원시 의창구청 환경과,055-212-4521,35.2609019,128.6170214
74,사림동,경상남도 창원시 의창구 창이대로343번길25,경상남도 창원시 의창구청 환경과,055-212-4521,35.2468566,128.6764237
75,사림동,경상남도 창원시 의창구 창이대로343번길39,경상남도 창원시 의창구청 환경과,055-212-4521,35.2468811,128.6778132
76,사림동,경상남도 창원시 의창구 사림로109번길 17,경상남도 창원시 의창구청 환경과,055-212-4521,35.2460051,128.6848507
77,사림동,경상남도 창원시 의창구 창이대로343번길51,경상남도 창원시 의창구청 환경과,055-212-4521,35.2463577,128.6790697
78,사림동,경상남도 창원시 의창구 창이대로343번길81,경상남도 창원시 의창구청 환경과,055-212-4521,35.2451939,128.6818941
79,사림동,경상남도 창원시 의창구 창이대로343번길95,경상남도 창원시 의창구청 환경과,055-212-4521,35.244567,128.6834017
80,사림동,경상남도 창원시 의창구 창이대로413번길10,경상남도 창원시 의창구청 환경과,055-212-4521,35.2429483,128.6824704
81,사림동,경상남도 창원시 의창구 창이대로413번길 12,경상남도 창원시 의창구청 환경과,055-212-4521,35.2432335,128.6827752
82,봉곡동,경상남도 창원시 의창구 봉곡로 111번길 35,경상남도 창원시 의창구청 환경과,055-212-4521,35.2465402,128.674048
83,봉곡동,경상남도 창원시 의창구 창이대로263번길24,경상남도 창원시 의창구청 환경과,055-212-4521,35.2479209,128.6678392
84,봉곡동,경상남도 창원시 의창구 창이대로263번길32,경상남도 창원시 의창구청 환경과,055-212-4521,35.2487466,128.6681411
85,봉곡동,경상남도 창원시 의창구 창이대로259번길29,경상남도 창원시 의창구청 환경과,055-212-4521,35.2485403,128.6675618
86,봉곡동,경상남도 창원시 의창구 창이대로 259번길 19,경상남도 창원시 의창구청 환경과,055-212-4521,35.2478317,128.6668336
87,봉곡동,경상남도 창원시 의창구 창이대로 259번길 5,경상남도 창원시 의창구청 환경과,055-212-4521,35.2468753,128.6662276
88,봉곡동,경상남도 창원시 의창구 봉곡로68번길22,경상남도 창원시 의창구청 환경과,055-212-4521,35.2472554,128.6663583
89,봉곡동,경상남도 창원시 의창구 봉곡로54번길21-20,경상남도 창원시 의창구청 환경과,055-212-4521,35.2472414,128.6660531
90,팔용동,경상남도 창원시 의창구 팔용로 396번길 17,경상남도 창원시 의창구청 환경과,055-212-4521,35.2515741,128.6122453
91,봉곡동,경상남도 창원시 의창구 봉곡로64번길13,경상남도 창원시 의창구청 환경과,055-212-4521,35.2480963,128.6663036
92,사림동,경상남도 창원시 의창구 용지로 293번길 33,경상남도 창원시 의창구청 환경과,055-212-4521,35.2409555,128.6870081
93,사림동,경상남도 창원시 의창구 퇴촌로9번길10-12,경상남도 창원시 의창구청 환경과,055-212-4521,35.2425851,128.6870437
94,봉곡동,경상남도 창원시 의창구 지귀로73번길 18-16,경상남도 창원시 의창구청 환경과,055-212-4521,35.2485027,128.6557742
95,봉곡동,경상남도 창원시 의창구 봉곡로 54번길 9,경상남도 창원시 의창구청 환경과,055-212-4521,35.2483662,128.6652179
96,봉곡동,경상남도 창원시 의창구 봉곡로120번길14,경상남도 창원시 의창구청 환경과,055-212-4521,35.247071,128.6690389
97,봉곡동,경상남도 창원시 의창구 봉곡로120번길18,경상남도 창원시 의창구청 환경과,055-212-4521,35.2470678,128.6685513
98,봉곡동,경상남도 창원시 의창구 봉곡로120번길21-1,경상남도 창원시 의창구청 환경과,055-212-4521,35.2468329,128.6679514
99,팔용동,경상남도 창원시 의창구 사화로9번길 11,경상남도 창원시 의창구청 환경과,055-212-4521,35.2583319,128.6095785
100,봉곡동,경상남도 창원시 의창구 창이대로283번길12,경상남도 창원시 의창구청 환경과,055-212-4521,35.2474455,128.6685277
101,봉림동,경상남도 창원시 의창구 소봉로 63,경상남도 창원시 의창구청 환경과,055-212-4521,35.2549602,128.6687344
102,봉곡동,경상남도 창원시 의창구 창이대로263번길2,경상남도 창원시 의창구청 환경과,055-212-4521,35.2464328,128.6663177
103,봉곡동,경상남도 창원시 의창구 봉곡로35번길6-22,경상남도 창원시 의창구청 환경과,055-212-4521,35.2495785,128.6641579
104,봉곡동,경상남도 창원시 의창구 봉곡로35번길6,경상남도 창원시 의창구청 환경과,055-212-4521,35.2493086,128.6631937
105,봉곡동,경상남도 창원시 의창구 창이대로263번길8,경상남도 창원시 의창구청 환경과,055-212-4521,35.2468222,128.6667399
106,봉곡동,경상남도 창원시 의창구 창이대로217번길22,경상남도 창원시 의창구청 환경과,055-212-4521,35.2474391,128.6610741
107,봉곡동,경상남도 창원시 의창구 창이대로205번길26,경상남도 창원시 의창구청 환경과,055-212-4521,35.2473056,128.6592379
108,사림동,경상남도 창원시 의창구 사림로 149번길42,경상남도 창원시 의창구청 환경과,055-212-4521,35.2414488,128.6898193
109,팔용동,경상남도 창원시 의창구 팔용로439번길15,경상남도 창원시 의창구청 환경과,055-212-4521,35.2566413,128.6114858
110,봉곡동,경상남도 창원시 의창구 봉곡로 23번길 28-16,경상남도 창원시 의창구청 환경과,055-212-4521,35.2485414,128.6601659
111,사림동,경상남도 창원시 의창구 사림로57번길22,경상남도 창원시 의창구청 환경과,055-212-4521,35.248426,128.6800999
112,팔용동,경상남도 창원시 의창구 사화로 22번길 16,경상남도 창원시 의창구청 환경과,055-212-4521,35.255509,128.608961
113,사림동,경상남도 창원시 의창구 사림로 109번길 19,경상남도 창원시 의창구청 환경과,055-212-4521,35.2461985,128.6850883
114,사림동,경상남도 창원시 의창구 사림로71번길11,경상남도 창원시 의창구청 환경과,055-212-4521,35.2472864,128.6807096
115,사림동,경상남도 창원시 의창구 사림로 57번길 16,경상남도 창원시 의창구청 환경과,055-212-4521,35.2481124,128.6798166
116,사림동,경상남도 창원시 의창구 사림로71번길8,경상남도 창원시 의창구청 환경과,055-212-4521,35.2468338,128.6807301
117,봉림동,경상남도 창원시 의창구 대봉로 42번길 32,경상남도 창원시 의창구청 환경과,055-212-4521,35.2554583,128.6687935
118,사림동,경상남도 창원시 의창구 사림로45번길72,경상남도 창원시 의창구청 환경과,055-212-4521,35.2484499,128.6830694
119,사림동,경상남도 창원시 의창구 퇴촌로25번길 10,경상남도 창원시 의창구청 환경과,055-212-4521,35.2426818,128.687943
120,봉곡동,경상남도 창원시 의창구 사림로 29번길 17-30,경상남도 창원시 의창구청 환경과,055-212-4521,35.2469292,128.6732815
121,봉곡동,경상남도 창원시 의창구 봉곡로97번길31,경상남도 창원시 의창구청 환경과,055-212-4521,35.2489285,128.6732874
122,사림동,경상남도 창원시 의창구 사림로111번길 10-6,경상남도 창원시 의창구청 환경과,055-212-4521,35.2451121,128.6848629
123,사림동,경상남도 창원시 의창구 사림로111번길 24,경상남도 창원시 의창구청 환경과,055-212-4521,35.2466377,128.6864943
124,사림동,경상남도 창원시 의창구 퇴촌로9번길18,경상남도 창원시 의창구청 환경과,055-212-4521,35.2436616,128.6865034
125,사림동,경상남도 창원시 의창구 사림로 111번길 10-10,경상남도 창원시 의창구청 환경과,055-212-4521,35.2449695,128.6851431
126,사림동,경상남도 창원시 의창구 창이대로417번길 13,경상남도 창원시 의창구청 환경과,055-212-4521,35.2422386,128.683654
127,사림동,경상남도 창원시 의창구 창이대로417번길 11,경상남도 창원시 의창구청 환경과,055-212-4521,35.2422236,128.6834788
128,봉곡동,경상남도 창원시 의창구 사림로 29번길 25-20,경상남도 창원시 의창구청 환경과,055-212-4521,35.2471727,128.6732933
129,봉곡동,경상남도 창원시 의창구 창이대로205번길27,경상남도 창원시 의창구청 환경과,055-212-4521,35.2472783,128.6589566
130,봉곡동,경상남도 창원시 의창구 창이대로169번길16-12,경상남도 창원시 의창구청 환경과,055-212-4521,35.2454431,128.6563201
131,봉곡동,경상남도 창원시 의창구 창이대로187번길35,경상남도 창원시 의창구청 환경과,055-212-4521,35.2465207,128.655613
132,사림동,경상남도 창원시 의창구 사림로156번길 49,경상남도 창원시 의창구청 환경과,055-212-4521,35.2415471,128.6844297
133,팔용동,경상남도 창원시 의창구 팔용로396번길1,경상남도 창원시 의창구청 환경과,055-212-4521,35.2524287,128.6107332
134,봉곡동,경상남도 창원시 의창구 창이대로187번길20-1,경상남도 창원시 의창구청 환경과,055-212-4521,35.2465403,128.6572979
135,팔용동,경상남도 창원시 의창구 사화로 33번길 23,경상남도 창원시 의창구청 환경과,055-212-4521,35.2577543,128.6127183
136,봉곡동,경상남도 창원시 의창구 봉곡로 11번길 6,경상남도 창원시 의창구청 환경과,055-212-4521,35.2468913,128.6622054
137,봉곡동,경상남도 창원시 의창구 지귀로 73번길 12-6,경상남도 창원시 의창구청 환경과,055-212-4521,35.2480395,128.6550517
138,팔용동,경상남도 창원시 의창구 사화로 48번길 36,경상남도 창원시 의창구청 환경과,055-212-4521,35.2528547,128.6099997
139,팔용동,경상남도 창원시 의창구 팔용로 399번길 22,경상남도 창원시 의창구청 환경과,055-212-4521,35.2542678,128.608414
140,팔용동,경상남도 창원시 의창구 팔용로 443번길 22,경상남도 창원시 의창구청 환경과,055-212-4521,35.2572183,128.6117754
141,팔용동,경상남도 창원시 의창구 사화로 80번길 16,경상남도 창원시 의창구청 환경과,055-212-4521,35.2525518,128.6143809
142,봉곡동,경상남도 창원시 의창구 대봉로 20,경상남도 창원시 의창구청 환경과,055-212-4521,35.2508694,128.667237
143,봉곡동,경상남도 창원시 의창구 지귀로60번길13-6 ,경상남도 창원시 의창구청 환경과,055-212-4521,35.2460497,128.6519977
144,봉곡동,경상남도 창원시 의창구 지귀로73번길8,경상남도 창원시 의창구청 환경과,055-212-4521,35.2476233,128.6547575
145,팔용동,경상남도 창원시 의창구 팔용동182번지,경상남도 창원시 의창구청 환경과,055-212-4521,35.2603009,128.6136234
146,팔용동,경상남도 창원시 의창구 의창대로 132번길 26,경상남도 창원시 의창구청 환경과,055-212-4521,35.2595318,128.6140607
147,봉곡동,경상남도 창원시 의창구 지귀로 24번길 37,경상남도 창원시 의창구청 환경과,055-212-4521,35.2436478,128.6532593
148,사림동,경상남도 창원시 의창구 용지로 311번길 15,경상남도 창원시 의창구청 환경과,055-212-4521,35.2412454,128.6888143
149,사림동,경상남도 창원시 의창구 퇴촌로 25번길 14-24,경상남도 창원시 의창구청 환경과,055-212-4521,35.2430861,128.6889578
150,사림동,경상남도 창원시 의창구 퇴촌로25번길 6-32,경상남도 창원시 의창구청 환경과,055-212-4521,35.2424551,128.6897477
151,봉곡동,경상남도 창원시 의창구 창이대로 187번길 40,경상남도 창원시 의창구청 환경과,055-212-4521,35.2465271,128.6550263
152,팔용동,경상남도 창원시 의창구 팔용로 412번길 7,경상남도 창원시 의창구청 환경과,055-212-4521,35.2531407,128.6125906
153,팔용동,경상남도 창원시 의창구 팔용로 396번길5,경상남도 창원시 의창구청 환경과,055-212-4521,35.2522212,128.6111085
154,사림동,경상남도 창원시 의창구 퇴촌로 45번길 21,경상남도 창원시 의창구청 환경과,055-212-4521,35.2435012,128.688492
155,봉곡동,경상남도 창원시 의창구 지귀로 24번길 11,경상남도 창원시 의창구청 환경과,055-212-4521,35.2449241,128.6510127
156,사림동,경상남도 창원시 의창구 용동로 45 썬앤빌 H동,경상남도 창원시 의창구청 환경과,055-212-4521,35.2366745,128.6970475
157,사림동,경상남도 창원시 의창구 용동로 45 썬앤빌 E동,경상남도 창원시 의창구청 환경과,055-212-4521,35.2366745,128.6970475
158,봉곡동,경상남도 창원시 의창구 소봉로 20번길 7,경상남도 창원시 의창구청 환경과,055-212-4521,35.2524501,128.670758
159,봉곡동,경상남도 창원시 의창구 지귀로 24번길 21,경상남도 창원시 의창구청 환경과,055-212-4521,35.2444578,128.6518092
160,팔용동,경상남도 창원시 의창구 팔용동182번지,경상남도 창원시 의창구청 환경과,055-212-4521,35.2603009,128.6136234
161,팔용동,경상남도 창원시 의창구 팔용로423번길13,경상남도 창원시 의창구청 환경과,055-212-4521,35.2553367,128.6105187
162,사림동,경상남도 창원시 의창구 사림로 57번길 39-18,경상남도 창원시 의창구청 환경과,055-212-4521,35.2503654,128.6801443
163,팔용동,경상남도 창원시 의창구 사화로10번길32,경상남도 창원시 의창구청 환경과,055-212-4521,35.2551373,128.6068596
164,사림동,경상남도 창원시 의창구 퇴촌로 25번길 25,경상남도 창원시 의창구청 환경과,055-212-4521,35.2438884,128.6870427
165,봉곡동,경상남도 창원시 의창구 원이대로 285번길 22,경상남도 창원시 의창구청 환경과,055-212-4521,35.2440151,128.6526597
166,사림동,경상남도 창원시 의창구 퇴촌로 45번길 9,경상남도 창원시 의창구청 환경과,055-212-4521,35.242794,128.6893862
167,팔용동,경상남도 창원시 의창구 팔용로395번길 16,경상남도 창원시 의창구청 환경과,055-212-4521,35.253438,128.6090533
168,사림동,경상남도 창원시 의창구 용동로 45,경상남도 창원시 의창구청 환경과,055-212-4521,35.2366745,128.6970475
169,팔용동,경상남도 창원시 의창구 반계로62번길 24 프라임하우스 104동,경상남도 창원시 의창구청 환경과,055-212-4521,35.2496681,128.6159871
170,사림동,경상남도 창원시 의창구 창이대로413번길 12,경상남도 창원시 의창구청 환경과,055-212-4521,35.2432335,128.6827752
171,팔용동,경상남도 창원시 의창구 남산로9번길 11,경상남도 창원시 의창구청 환경과,055-212-4521,35.2606919,128.6121441
172,의창동,경상남도 창원시 의창구 의안로 43번길 6,경상남도 창원시 의창구청 환경과,055-212-4521,35.2657638,128.6232784
173,의창동,경상남도 창원시 의창구 의안로 49번길 11,경상남도 창원시 의창구청 환경과,055-212-4521,35.2659603,128.6226455
174,의창동,경상남도 창원시 의창구 의안로 64-1,경상남도 창원시 의창구청 환경과,055-212-4521,35.2673938,128.6240392
175,의창동,경상남도 창원시 의창구 의안로 70번길 5 성창빌라 앞,경상남도 창원시 의창구청 환경과,055-212-4521,35.2679626,128.6245678
176,의창동,경상남도 창원시 의창구 의안로 70번길 21 청화소답아파트 앞,경상남도 창원시 의창구청 환경과,055-212-4521,35.2679434,128.6260814
177,의창동,경상남도 창원시 의창구 의안로 66번길 45 앞,경상남도 창원시 의창구청 환경과,055-212-4521,35.267762,128.6288615
178,의창동,경상남도 창원시 의창구 의안로 66번길 33 고향의봄 어린이공원,경상남도 창원시 의창구청 환경과,055-212-4521,35.2677662,128.6275949
179,의창동,경상남도 창원시 의창구 의안로 66번길 25 서광빌라 앞,경상남도 창원시 의창구청 환경과,055-212-4521,35.2676459,128.626974
180,의창동,경상남도 창원시 의창구 의안로 66번길 26 앞,경상남도 창원시 의창구청 환경과,055-212-4521,35.2676459,128.626974
181,의창동,경상남도 창원시 의창구 의안로 62번길 24 앞,경상남도 창원시 의창구청 환경과,055-212-4521,35.2668852,128.6264315
182,의창동,경상남도 창원시 의창구 읍성로 89번길 24 청송빌라 앞,경상남도 창원시 의창구청 환경과,055-212-4521,35.2669139,128.6282255
183,의창동,경상남도 창원시 의창구 의안로 56번길 50,경상남도 창원시 의창구청 환경과,055-212-4521,35.2664214,128.629348
184,의창동,경상남도 창원시 의창구 의안로 56번길 30 국도 개나리,경상남도 창원시 의창구청 환경과,055-212-4521,35.2664177,128.6270655
185,의창동,경상남도 창원시 의창구 의안로 56번길 15,경상남도 창원시 의창구청 환경과,055-212-4521,35.2666482,128.6255202
186,의창동,경상남도 창원시 의창구 의안로 50,경상남도 창원시 의창구청 환경과,055-212-4521,35.2659039,128.624094
187,의창동,경상남도 창원시 의창구 의안로 50번길 22-1 두럭어린이공원,경상남도 창원시 의창구청 환경과,055-212-4521,35.2659631,128.6263481
188,의창동,경상남도 창원시 의창구 의안로 50번길 10,경상남도 창원시 의창구청 환경과,055-212-4521,35.2659771,128.6249333
189,의창동,경상남도 창원시 의창구 의안로 44번길 8 보람아파트,경상남도 창원시 의창구청 환경과,055-212-4521,35.2656367,128.6247706
190,의창동,경상남도 창원시 의창구 의안로 44번길 49-4,경상남도 창원시 의창구청 환경과,055-212-4521,35.2645648,128.6292077
191,의창동,경상남도 창원시 의창구 의안로 44번길 53 금강연화아파트,경상남도 창원시 의창구청 환경과,055-212-4521,35.2642612,128.6293315
192,의창동,경상남도 창원시 의창구 의창대로 299번길 20 앞,경상남도 창원시 의창구청 환경과,055-212-4521,35.2635818,128.6304752
193,의창동,경상남도 창원시 의창구 의창대로 299번길 16-2 남도빌라 앞 두리어린이공원,경상남도 창원시 의창구청 환경과,055-212-4521,35.2630204,128.630533
194,의창동,경상남도 창원시 의창구 의창대로 299번길 6-2,경상남도 창원시 의창구청 환경과,055-212-4521,35.2621582,128.6306135
195,의창동,경상남도 창원시 의창구 의창대로 289번길 5 앞,경상남도 창원시 의창구청 환경과,055-212-4521,35.2619873,128.6295732
196,의창동,경상남도 창원시 의창구 의안로 44번길 25,경상남도 창원시 의창구청 환경과,055-212-4521,35.2656259,128.626785
197,의창동,경상남도 창원시 의창구 의안로 44번길 7-2,경상남도 창원시 의창구청 환경과,055-212-4521,35.2656426,128.6249038
198,의창동,경상남도 창원시 의창구 의안로 55번길 36 옆,경상남도 창원시 의창구청 환경과,055-212-4521,35.2665638,128.6199934
199,의창동,경상남도 창원시 의창구 의안로 55번길 26 옆,경상남도 창원시 의창구청 환경과,055-212-4521,35.2665964,128.6212106
200,소답동,경상남도 창원시 의창구 읍성로 12-5 앞(아람유치원 옆),경상남도 창원시 의창구청 환경과,055-212-4521,35.2647263,128.6194584
201,소답동,경상남도 창원시 의창구 의안로 27번길 15-7 옆,경상남도 창원시 의창구청 환경과,055-212-4521,35.2639143,128.6221432
202,소답동,경상남도 창원시 의창구 의안로 27번길 7 천주교 중동교회,경상남도 창원시 의창구청 환경과,055-212-4521,35.2638976,128.6231259
203,소답동,경상남도 창원시 의창구 의안로 28번길 37,경상남도 창원시 의창구청 환경과,055-212-4521,35.2638575,128.6279448
204,소답동,경상남도 창원시 의창구 의창대로 247번길 15 창원교회,경상남도 창원시 의창구청 환경과,055-212-4521,35.2631825,128.6251049
205,소답동,경상남도 창원시 의창구 의안로 32번길 35,경상남도 창원시 의창구청 환경과,055-212-4521,35.2641712,128.6278652
206,소답동,경상남도 창원시 의창구 의안로 18번길 14,경상남도 창원시 의창구청 환경과,055-212-4521,35.2630959,128.6250953
